,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,newColumn
0,1,01/22/2020,Anhui,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
1,2,01/22/2020,Beijing,Mainland China,1/22/2020 17:00,14.0,0.0,0.0,14.0
2,3,01/22/2020,Chongqing,Mainland China,1/22/2020 17:00,6.0,0.0,0.0,6.0
3,4,01/22/2020,Fujian,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
4,5,01/22/2020,Gansu,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
5,6,01/22/2020,Guangdong,Mainland China,1/22/2020 17:00,26.0,0.0,0.0,26.0
6,7,01/22/2020,Guangxi,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0
7,8,01/22/2020,Guizhou,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
8,9,01/22/2020,Hainan,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0
9,10,01/22/2020,Hebei,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
10,11,01/22/2020,Heilongjiang,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
11,12,01/22/2020,Henan,Mainland China,1/22/2020 17:00,5.0,0.0,0.0,5.0
12,13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0.0,0.0,0.0,0.0
13,14,01/22/2020,Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0,461.0
14,15,01/22/2020,Hunan,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0
15,16,01/22/2020,Inner Mongolia,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
16,17,01/22/2020,Jiangsu,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
17,18,01/22/2020,Jiangxi,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0
18,19,01/22/2020,Jilin,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
19,20,01/22/2020,Liaoning,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0
20,21,01/22/2020,Macau,Macau,1/22/2020 17:00,1.0,0.0,0.0,1.0
21,22,01/22/2020,Ningxia,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
22,23,01/22/2020,Qinghai,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
23,24,01/22/2020,Shaanxi,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
24,25,01/22/2020,Shandong,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0
25,26,01/22/2020,Shanghai,Mainland China,1/22/2020 17:00,9.0,0.0,0.0,9.0
26,27,01/22/2020,Shanxi,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0
27,28,01/22/2020,Sichuan,Mainland China,1/22/2020 17:00,5.0,0.0,0.0,5.0
28,29,01/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1.0,0.0,0.0,1.0
29,30,01/22/2020,Tianjin,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0
30,31,01/22/2020,Tibet,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
31,32,01/22/2020,Washington,US,1/22/2020 17:00,1.0,0.0,0.0,1.0
32,33,01/22/2020,Xinjiang,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0
